airline,name,retweet_count,text,user_timezone
US Airways,rossj987,0,@USAirways sorry doesn't help.  It's midnight PST.  How in the hell am I still on hold after 90 minutes on customer service line?,Eastern Time (US & Canada)
American,JR_Fett,0,@AmericanAir Well I'm showing I am still sitting at the gate on the plane that has not departed?,nan
United,8629Fissile,0,@united Okay thank you,London
American,ransvoice,0,"@AmericanAir Would have had to fly real far south, huh? #WinterWeather #Brrr",Eastern Time (US & Canada)
Virgin America,wmrrock,0,@VirginAmerica got it. All set - Thanks!,Eastern Time (US & Canada)
United,NonYourBusines9,0,@united I left my comment with customer care. Thanks for contacting me.,nan
United,Eivind_G,0,@united Then you delete my return ticket to Europe and blame me for the now show? This airline is a joke. 3 times this happened now.3 times!,nan
Southwest,DeniseMarois,0,@SouthwestAir Feeling very frustrated that I bought WIFI onboard and can't load an email.,nan
Southwest,jodyfuller,0,"@SouthwestAir, thanks for being so good to us #military folk. It's cold in #StLouis but I sure enjoyed my flight. http://t.co/RcdH183Q1J",Central Time (US & Canada)
United,dizbaa1,0,@united @JedediahBila KP I am not traveling - we trying to cheer up Ms. Bila.,Eastern Time (US & Canada)
United,JerseyRic,0,@united  RES # 0167560070877     Fsqthg   Thanks,Eastern Time (US & Canada)
Virgin America,finslippy,0,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",Eastern Time (US & Canada)
US Airways,clarkhook,0,@USAirways Seriously. You can't tweet and let people know that you've got customers that have been on hold for 5 HOURS??!!,Eastern Time (US & Canada)
Southwest,TravelWithSuze,0,@SouthwestAir flight yesterday Cancelled Flighted. Got to airport 4am today for an on time flight w was delayed Cancelled Flighted than reinstated which caused,nan
United,tarlonious,0,@united and waiting,nan
United,AngelikaGiatras,0,@united can anyone assure me that the aircraft coming to Denver had left it's previous destination? Flight 3618,Eastern Time (US & Canada)
United,PaulBEsteves,0,@united thanks for the help. Wish the phone reps could be so accomidating,Eastern Time (US & Canada)
Southwest,sgodsay,0,@SouthwestAir can you provide direct assistance? My colleague and I cannot re-book b/c the ticket was booked via a corporate account. #help,Quito
Southwest,MFarrell21,0,@SouthwestAir understand you can only do so much but often it seems like a quick request to the desk is all it takes no questions asked.,Eastern Time (US & Canada)
Delta,leighericam,0,@JetBlue are yall going bankrupt or is inflation just really bad these days? You went from $50 to $120 for overweight fees! Outrageous,nan
United,ABBaitCo,0,@united how about plowing the snow at a gate before the plane arrives so we don't sit for 45 minutes after an 8 hr flight.... Fail,Eastern Time (US & Canada)
Southwest,jessiebabbi,0,@SouthwestAir I wish i would've seen this 4 hours ago!!! I WANTED TO SEE THEM TONIGHT SO BAD!!!! #CRYING,Arizona
American,davejmt,0,@AmericanAir - don't be jealous.  I live in Sydney and my T-shirt and jeans don't suit the office for work. I need suits and a warm jacket.,Hawaii
Delta,edgarsantana,0,@JetBlue u now have my gears grinding. The JFK baggage office told me I need to bring the bag back right now if not they will close my claim,Eastern Time (US & Canada)
American,KyleFerrel,0,"@AmericanAir how do I talk to an actual person that will help me, and do what you guys should do?",America/Los_Angeles
