Date,Hit Sentence,Country,Reach,Twitter Authority,Twitter Screen Name,Twitter Followers,Twitter Following,State
18-Jan-2022 10:53PM,"RT @francessmith: Interesting to watch all those people who claimed brexit was about nostalgia for empire, using 40 and 50 year old programmes to justify continuing the BBC licence fee.",United Kingdom,5428,7.0,Richard Alan Waterhouse,5428.0,4103.0,England
13-Jan-2022 09:16PM,"RT @Mike_Fabricant: I confess to voting against John Major and Theresa May in votes of no confidence - so I am no loyalist. But #Boris delivered #Brexit, the best vaccine programme in #Europe and first in the world, and England is likely soon to leave #Covid behind. He delivers and has my support. ; Meanwhile, thanks to our world beating vaccine programme, the #UK is closer to the end of #Covid pandemic than any northern hemisphere country according to the London School of Hygiene and Tropical Medicine https://t.co/VYZszxiRHw",United Kingdom,455,5.0,Diane Boyle,455.0,601.0,England
07-Mar-2022 03:36PM,RT @LD_Sceptics: Boris Johnson believes the West should be given a “climate change pass” to help wean the EU off Russian gas supplies as he faces mounting pressure over the Government’s 2050 Net Zero target. https://t.co/L4ELCzsW3U,Unknown,9702,7.0,Heidi 🇬🇧 #DrawYourLine #TogetherDeclaration,9702.0,9133.0,nan
25-Feb-2022 04:55PM,RT @MikeHolden42: It's very hard to escape the thought that those who advocated a UK exit from the EU (in an official capacity rather than the poor folk of our country conned into believing it) were working for Putin's aims rather than the UK's. @Nigel_Farage being a major asset in this.,Australia,719,5.0,Ellen H.,719.0,707.0,New South Wales
02-Mar-2022 03:12PM,"RT @mitsyarty: There are a couple of glaring differences between #FBPe #RejoinEU and Brexiteers. The most outstanding of which is, the former is politicising the Ukrainian horror and seeing it as a means of attacking Brexit - Brexiteers are condemning it.",Unknown,205,4.0,FenrirRazor🇬🇧🏳️‍🌈🇺🇦,205.0,601.0,nan
24-Feb-2022 03:47PM,"RT @Kasparov63: Cannot ignore the political 5th column of Putinists, from the far right & left in EU to the tankies & Trump & his GOP followers in the US. They may have the right to support a brutal dictator's war in order to criticize Biden, but it's disgusting and anti-American. Do not forget.",United Kingdom,1467,6.0,Laurence #FBPE,1467.0,2144.0,England
21-Mar-2022 09:57AM,RT @Bbmorg: Boris Johnson’s supporters on his comparing the war in Ukraine to his Brexit - ‘he didn’t say it’ ‘if he did say it he didn’t mean it’ ‘if said it and meant it - it doesn’t matter: it’s just words’. Any excuse to excuse him.,United States,5734,7.0,Jacqueline White,5734.0,6255.0,Maryland
23-Jan-2022 10:12AM,RT @BobSlat07408216: @Mal_DuBois @BBCNews The bias broadcasting company have always tried to bring down whoever is Tory leader. This time they are helped by anti brexit MPs.,Unknown,13541,8.0,Mal Harrison,13541.0,2176.0,nan
19-Jan-2022 03:53PM,"QT @ollysmithtravel: #Deutschland andrerseits muss #Scholz, #Soeder und #Lauterbach ertragen... ; No face masks, no Covid passports. From January 27 England will again be the most free place in Europe.",Germany,659,5.0,Alex Jackson-Smith,659.0,1294.0,Bavaria
28-Feb-2022 07:57PM,"RT @MaureenDalby: @Bill_Esterson Have you not listened to what the UK Ukranian ambassador said? Or, do you know better? To remind you, he praised Boris and said he was not looking for refuge to be given in Europe, except the bordering countries, where support was indeed needed.",United Kingdom,5426,7.0,Day Break,5426.0,4928.0,England
07-Jan-2022 02:36PM,@johnfoster70 @NicholasTyrone So not true. Or parliament now controls rather than Germany. We have the fastest growing economy in the EU and while Europe is in lockdown we are not.,United Kingdom,202,4.0,Paul Dennis,202.0,467.0,England
26-Feb-2022 09:43AM,"RT @DanielJHannan: QT @chrishoar: Completely untrue. But more than 40k “likes” because blue heart, “hatred of Brexit” etc. The determination of FBPE Twitter to twist even the Ukrainian tragedy into an attack on their own country is no longer surprising; but it is still disgusting. ; Downing street lit up in Ukrainian colours whilst suspending visa's for Ukrainian nationals. If you want a real example of virtue signaling that is it!",United Kingdom,381,5.0,Octavia,381.0,531.0,England
05-Mar-2022 01:44PM,RT @PeterStefanovi2: QT @PeterStefanovi2: THIS RELENTLESS LYING HAS TO STOP ; Boris Johnson has told MP’s the UK has taken more refugees since 2015 then any other country in Europe NOT TRUE - Germany took in more refugees in a single year (2019) than the UK did in the six years from 2015 to 2020 THIS RELENTLESS LYING HAS TO STOP https://t.co/TgrRtOTQtj,United Kingdom,5867,7.0,CLARE HUGGY BEAR ☮️ 💖,5867.0,1720.0,nan
