Timestamp,Embedded_text,Comments,Likes,Retweets,UserScreenName
2022-04-30T22:05:19.000Z,"Replying to 
@phagafaga
 and 
@coolestrogen
And climate change isn't even the only problem. Capitalism destroys ecosystems in various other ways, and not to mention the catastrophic direct effects on human well-being.
10",nan,nan,10,Hottakemushroom (ontologically based)
2022-07-17T06:46:52.000Z,"Spare a thought for the 57,000  inhabitants of Greenland

They have seen an unusually cold and snowy summer in 2022 in what climate activists had told them was ‘ground zero for climate change’ but all they hear about is a short heatwave in England threatening to melt snowflakes
7
144
274",7,144,274,David Bellamy
2022-03-01T22:59:19.000Z,"We need to keep our forest safe.  Forests help maintain Earth’s carbon balance and thus help us lessen the impacts of climate change.
#ClimateReport
#ClimateAction
Quote Tweet
Mr. Climate
@OlumideIDOWU
 · Mar 1
Forests provide a cooling shield against extreme heat, essential especially for people who work outside on
the hottest days. #ClimateReport #ClimateImpacts 

@FNCDialogue @IPCC_CH @antonioguterres @UNDPNigeria @UNCCD @sharon_ikeazor @UNEP_Africa @SeanMelbourne2
7
16",nan,7,16,We Unite Foundation
2022-05-13T23:41:31.000Z,"""Action on climate change is also a kitchen table issue when your kitchen table is floating down the street""

One of the better climate lines
theguardian.com
Queensland shows what happens when liberals desert the Liberal party
The state Liberal National party’s pursuit of conservative causes has contributed to it being all but banished from Brisbane
2
24
91",2,24,91,Andrew Bray
2022-02-25T20:38:05.000Z,"Replying to 
@firastopher
maybe I missed something, but I’m pretty sure COVID k!lled every demographic of person. also pretty sure the effects of climate change can penetrate any tax bracket, and that 9/11 affected nearly every American. these are also historic events everyone’s talking about.
15
9
107",15,9,107,uvaair
2022-01-30T22:13:24.000Z,"Climate change is a hoax
452
1,640
10.2K",452,"1,640",10.2K,Kurt Schlichter
2022-07-14T19:32:28.000Z,"Supporting youth climate change activists of colour https://reporter.mcgill.ca/supporting-youth-climate-change-activists-of-colour/… via 
@mcgillu
reporter.mcgill.ca
Supporting youth climate change activists of colour
Salma Tihani helps teens learn about the environment and nature while taking concrete action in their community",nan,nan,nan,Bullard Center for Environmental & Climate Justice
2022-06-16T23:34:23.000Z,"Sounds like a plan…

MIT Scientists Propose Space Bubbles to Reverse the Worst of Climate Change - Gizmodo
apple.news
MIT Scientists Propose Space Bubbles to Reverse the Worst of Climate Change
A team of researchers at the Massachusetts Institute of Technology believe that we can mitigate the worst of climate change with… space bubbles. They’ve outlined a strategy in which a huge raft of...
22
7
18",22,7,18,Paul Beckwith
2022-07-17T07:19:37.000Z,"Delighted to launch Chief Minister's Institutional Plantation Programme (CMIPP) by planting a sapling at Janata Bhawan.

CMIPP will be run from 17 July - 15 August by the Science, Technology and Climate Change Department covering more than 80,000 institutional campuses under GoA.
17
146
762",17,146,762,Himanta Biswa Sarma
2022-03-14T22:09:24.000Z,"In the next couple of hours the full bench of the Federal Court in Sydney will rule on Susan Ley’s appeal to the finding that as Environment Minister she has a duty of care to children when it comes to harm caused by climate change - such as approving new coal mines.
5
34
54",5,34,54,Liz.Temple
